ProductID,ProductName,Category,Region,Country,Supplier,UnitPrice,Currency,StockQuantity,LastUpdated
1,Orange,Fruits,North America,China,Fromage Global,1281.31,INR,3890,2025-02-25 08:08:05
2,Sugar,Processed,Africa,Spain,BioAgro Ltd,1530.8,INR,2141,2025-05-08 11:20:41
3,Cocoa Powder,Processed,Oceania,Italy,Fromage Global,758.55,INR,1973,2025-08-15 18:19:42
4,Coffee,Beverages,Africa,South Africa,AgroGlobal,1064.53,INR,4712,2025-09-21 05:45:03
5,Palm Oil,Oilseeds,Europe,Mexico,ThaiAgri Export,1052.75,EUR,877,2025-01-09 13:36:48
6,Yogurt,Dairy,Europe,South Africa,SweetHarvest,721.66,EUR,1350,2025-11-10 18:26:56
7,Soft Drink,Beverages,South America,Italy,Mediterraneo S.A.,1103.89,EUR,2565,2025-05-15 07:04:37
8,Orange Juice,Beverages,Oceania,Spain,DairyWorld,1443.27,INR,342,2025-09-30 20:24:08
9,Mango,Fruits,Asia,USA,AgroPalm Corp,360.04,EUR,4451,2025-07-25 11:43:08
10,Carrot,Vegetables,Oceania,Thailand,Fromage Global,151.47,INR,3746,2025-01-23 10:51:09
11,Wheat,Grains,North America,Indonesia,VeggieCorp,163.04,USD,754,2025-07-21 03:57:09
12,Oats,Grains,Asia,India,FruitEx Intl,108.62,INR,3362,2025-04-01 23:43:29
13,Corn,Grains,Asia,South Africa,VeggieCorp,1328.36,USD,1284,2025-05-14 06:43:41
14,Tea,Beverages,Africa,Brazil,SweetHarvest,383.58,USD,2490,2024-12-26 12:32:08
15,Palm Oil,Oilseeds,North America,Mexico,Mediterraneo S.A.,866.99,INR,3820,2024-11-30 04:33:30
16,Mango,Fruits,North America,China,FruitEx Intl,1990.36,INR,1845,2025-04-29 21:12:31
17,Palm Oil,Oilseeds,Africa,Spain,BeverageWorld,461.48,EUR,3371,2025-04-19 17:14:40
18,Soft Drink,Beverages,North America,India,ThaiAgri Export,1404.95,EUR,4362,2025-02-28 09:58:51
19,Corn,Grains,Europe,Spain,ChocoTrade Ltd,1424.99,EUR,758,2025-10-15 11:20:12
20,Rice,Grains,Africa,Mexico,BeverageWorld,478.14,USD,1138,2025-01-05 20:05:31
21,Coffee,Beverages,Europe,Ghana,Fromage Global,529.44,INR,4827,2025-02-09 01:38:23
22,Milk Powder,Dairy,Oceania,Australia,VeggieCorp,1550.43,EUR,805,2025-07-02 18:42:16
23,Apple,Fruits,Europe,Italy,AgriFoods Inc,569.88,USD,4630,2025-08-30 13:48:01
24,Soft Drink,Beverages,Oceania,Mexico,AgroPalm Corp,925.01,INR,3810,2025-09-30 21:46:13
25,Yogurt,Dairy,Africa,Brazil,ThaiAgri Export,1362.4,USD,1719,2025-05-31 22:48:05
26,Tomato,Vegetables,Oceania,Ghana,VeggieCorp,259.58,USD,3138,2025-11-19 20:15:12
27,Mango,Fruits,Asia,Ghana,AgriFoods Inc,194.87,INR,2034,2025-08-27 17:27:27
28,Yogurt,Dairy,Oceania,China,AgriFoods Inc,438.72,USD,2239,2025-11-15 22:39:40
29,Coffee,Beverages,North America,India,VeggieCorp,1188.34,INR,1172,2025-07-14 16:47:53
30,Potato,Vegetables,Oceania,Ghana,AgriFoods Inc,1715.18,INR,1659,2025-10-11 01:57:13
31,Tea,Beverages,Europe,Australia,ThaiAgri Export,225.77,USD,3708,2025-04-18 11:45:50
32,Cocoa Powder,Processed,South America,China,AgroGlobal,1220.69,EUR,827,2025-06-30 11:05:54
33,Tomato,Vegetables,Europe,Mexico,Mediterraneo S.A.,927.04,USD,1836,2025-01-16 10:09:45
34,Soybean,Oilseeds,North America,Brazil,ChocoTrade Ltd,1767.15,EUR,1165,2025-05-12 00:11:37
35,Potato,Vegetables,North America,France,VeggieCorp,1650.29,USD,3568,2024-12-15 05:49:49
36,Olive Oil,Processed,North America,Spain,AgriFoods Inc,289.2,EUR,3737,2025-11-13 16:18:13
37,Onion,Vegetables,Europe,South Africa,VeggieCorp,1562.93,EUR,2306,2025-07-22 21:01:50
38,Oats,Grains,South America,Australia,Mediterraneo S.A.,1141.98,INR,3347,2025-06-26 05:54:55
39,Soybean,Oilseeds,Europe,France,AgroPalm Corp,661.72,USD,272,2024-11-30 15:08:00
40,Flour,Processed,Europe,USA,DairyWorld,203.01,EUR,4334,2025-05-22 22:20:46
41,Apple,Fruits,Oceania,Indonesia,BeverageWorld,1963.94,INR,1180,2025-10-03 21:46:26
42,Tomato,Vegetables,North America,France,VeggieCorp,1168.59,INR,1144,2024-12-18 01:17:13
43,Sugar,Processed,Africa,Australia,BioAgro Ltd,1433.88,INR,1401,2025-04-01 09:11:51
44,Yogurt,Dairy,Oceania,Italy,BeverageWorld,1852.67,USD,2441,2025-01-05 19:26:35
45,Grapes,Fruits,North America,South Africa,FruitEx Intl,209.07,USD,3871,2025-04-24 06:51:32
46,Cocoa Powder,Processed,Oceania,India,Mediterraneo S.A.,1744.41,USD,3953,2025-10-15 02:18:06
47,Corn,Grains,Europe,France,AgroGlobal,1158.78,EUR,4074,2025-10-08 16:01:29
48,Sunflower Oil,Oilseeds,Europe,Thailand,AgroGlobal,1684.83,EUR,2115,2025-01-08 00:09:17
49,Wheat,Grains,North America,China,SweetHarvest,1851.7,EUR,3849,2025-08-31 01:56:39
50,Sunflower Oil,Oilseeds,South America,Indonesia,BioAgro Ltd,977.18,EUR,4549,2025-08-29 12:00:23
51,Coffee,Beverages,Oceania,USA,Mediterraneo S.A.,1906.1,EUR,2232,2025-01-04 10:13:31
52,Coffee,Beverages,Asia,Indonesia,BeverageWorld,1140.29,EUR,2379,2025-05-13 09:02:04
53,Barley,Grains,Europe,Ghana,AgroPalm Corp,1821.83,INR,476,2024-12-11 10:05:30
54,Soybean,Oilseeds,Asia,Spain,Mediterraneo S.A.,1880.09,USD,3675,2024-12-25 04:39:38
55,Sunflower Oil,Oilseeds,Oceania,France,AgriFoods Inc,638.96,USD,607,2025-11-07 22:54:56
56,Banana,Fruits,Asia,South Africa,ChocoTrade Ltd,241.3,EUR,317,2025-08-28 07:53:47
57,Tomato,Vegetables,South America,Thailand,VeggieCorp,105.26,USD,1338,2024-11-29 23:29:31
58,Tomato,Vegetables,Africa,Mexico,ThaiAgri Export,189.81,INR,1869,2025-08-30 10:37:45
59,Coffee,Beverages,Europe,Italy,FruitEx Intl,1370.58,INR,4383,2025-03-01 13:21:52
60,Apple Juice,Beverages,Europe,Spain,BioAgro Ltd,1822.25,EUR,2864,2025-04-08 14:03:12
61,Barley,Grains,Africa,Ghana,AgriFoods Inc,1959.41,USD,1003,2025-09-25 20:34:17
62,Tea,Beverages,Africa,China,ThaiAgri Export,1631.33,INR,3216,2025-05-26 14:57:25
63,Orange Juice,Beverages,North America,China,AgroPalm Corp,1940.69,INR,2406,2024-12-08 19:11:06
64,Barley,Grains,North America,Australia,AgroPalm Corp,1945.86,EUR,4429,2025-03-01 19:13:05
65,Coffee,Beverages,Africa,Spain,VeggieCorp,1706.83,INR,1907,2025-06-02 14:14:15
66,Cheddar Cheese,Dairy,Asia,Mexico,ThaiAgri Export,1115.67,INR,3491,2025-01-25 03:41:18
67,Wheat,Grains,Africa,Brazil,BeverageWorld,1136.8,EUR,4685,2025-08-17 22:41:42
68,Milk Powder,Dairy,Asia,China,AgroGlobal,1463.92,EUR,2447,2025-02-11 02:52:12
69,Banana,Fruits,Africa,South Africa,AgroGlobal,1173.21,INR,421,2025-04-18 07:15:03
70,Apple Juice,Beverages,South America,USA,VeggieCorp,761.28,INR,1950,2025-03-27 20:06:19
71,Oats,Grains,South America,Indonesia,Fromage Global,1202.25,EUR,2179,2024-12-14 00:18:35
72,Banana,Fruits,South America,Indonesia,ChocoTrade Ltd,1021.91,INR,2747,2025-08-01 13:40:51
73,Yogurt,Dairy,South America,Indonesia,SweetHarvest,1188.05,USD,3652,2025-05-16 01:28:01
74,Orange Juice,Beverages,Africa,Mexico,AgriFoods Inc,858.47,INR,4618,2025-06-17 02:31:03
75,Tomato,Vegetables,Asia,South Africa,ChocoTrade Ltd,1515.88,EUR,113,2025-03-07 13:59:08
76,Barley,Grains,Asia,USA,ChocoTrade Ltd,1183.09,EUR,4248,2025-05-14 17:13:06
77,Orange Juice,Beverages,North America,Spain,AgroGlobal,1688.06,EUR,1570,2025-05-11 12:26:18
78,Apple,Fruits,South America,China,BioAgro Ltd,1284.22,EUR,4416,2025-08-13 22:24:53
79,Soybean,Oilseeds,South America,France,AgriFoods Inc,899.53,INR,457,2025-08-21 08:42:53
80,Mango,Fruits,Asia,Brazil,Fromage Global,1978.14,EUR,4505,2025-03-15 08:50:35
81,Yogurt,Dairy,Europe,Italy,DairyWorld,394.07,USD,3079,2025-10-21 07:57:59
82,Grapes,Fruits,Africa,India,BioAgro Ltd,649.29,EUR,2727,2025-09-26 15:38:42
83,Cheddar Cheese,Dairy,Africa,Spain,BioAgro Ltd,1103.21,USD,2139,2025-02-12 19:14:22
84,Sunflower Oil,Oilseeds,Asia,USA,FruitEx Intl,1394.05,USD,2589,2025-08-08 03:09:20
85,Sunflower Oil,Oilseeds,South America,Spain,AgroGlobal,1677.03,EUR,4896,2025-10-02 11:28:14
86,Yogurt,Dairy,North America,Thailand,FruitEx Intl,1614.98,EUR,185,2024-11-29 18:36:18
87,Orange,Fruits,Africa,Mexico,ThaiAgri Export,764.9,EUR,2183,2025-04-18 08:59:58
88,Olive Oil,Processed,North America,Indonesia,Mediterraneo S.A.,1401.77,INR,3618,2025-09-07 15:19:02
89,Potato,Vegetables,South America,Spain,VeggieCorp,1120.54,INR,4336,2025-06-17 14:11:52
90,Potato,Vegetables,South America,Mexico,ThaiAgri Export,998.42,USD,2349,2025-10-05 09:07:31
91,Rice,Grains,Africa,Brazil,AgriFoods Inc,1788.41,INR,2742,2025-08-07 10:27:52
92,Soybean,Oilseeds,Oceania,Australia,Fromage Global,384.7,USD,434,2025-02-28 21:16:25
93,Cheddar Cheese,Dairy,South America,Italy,BeverageWorld,1477.72,EUR,550,2025-01-13 01:20:42
94,Mango,Fruits,Asia,China,AgroPalm Corp,1977.19,EUR,3483,2025-06-22 14:27:05
95,Palm Oil,Oilseeds,Africa,India,ChocoTrade Ltd,426.43,INR,3126,2025-06-02 08:38:30
96,Orange Juice,Beverages,South America,Ghana,BeverageWorld,1189.55,USD,1838,2025-07-24 09:05:44
97,Carrot,Vegetables,Asia,Italy,ChocoTrade Ltd,558.05,USD,2323,2025-03-04 05:10:54
98,Apple Juice,Beverages,Oceania,South Africa,DairyWorld,246.54,USD,4859,2025-02-14 18:10:20
99,Sunflower Oil,Oilseeds,Europe,Italy,BioAgro Ltd,1220.08,USD,4535,2024-12-25 12:55:18
100,Banana,Fruits,Asia,Brazil,ChocoTrade Ltd,1303.42,USD,455,2025-05-14 02:56:21
101,Tea,Beverages,Europe,South Africa,Mediterraneo S.A.,648.12,INR,1708,2025-11-09 11:06:36
102,Rice,Grains,North America,South Africa,Fromage Global,743.9,USD,2628,2025-09-07 05:12:14
103,Soybean,Oilseeds,Africa,Italy,Mediterraneo S.A.,823.45,EUR,1970,2025-04-18 06:47:24
104,Cheddar Cheese,Dairy,Asia,France,ChocoTrade Ltd,1389.09,INR,1752,2025-04-14 01:39:12
105,Broccoli,Vegetables,Africa,Ghana,Fromage Global,1101.58,USD,3828,2025-07-09 18:16:46
106,Palm Oil,Oilseeds,South America,Indonesia,FruitEx Intl,1032.64,INR,1952,2025-04-16 11:43:57
107,Mango,Fruits,Africa,Australia,Fromage Global,420.29,INR,2787,2025-01-18 06:06:03
108,Onion,Vegetables,Asia,Spain,AgroPalm Corp,1629.3,USD,3074,2025-09-22 07:41:32
109,Cheddar Cheese,Dairy,South America,Italy,AgroPalm Corp,550.05,INR,132,2025-04-16 12:37:25
110,Wheat,Grains,Asia,Thailand,BioAgro Ltd,726.77,USD,3099,2025-06-17 09:56:41
111,Olive Oil,Processed,South America,Italy,AgriFoods Inc,1117.95,USD,1703,2025-07-01 03:54:30
112,Milk Powder,Dairy,South America,Italy,VeggieCorp,414.12,USD,2018,2025-01-21 16:04:04
113,Orange Juice,Beverages,Asia,India,ChocoTrade Ltd,214.23,USD,766,2025-02-11 04:09:49
114,Palm Oil,Oilseeds,Africa,South Africa,AgroGlobal,236.39,INR,1379,2025-06-16 18:05:19
115,Wheat,Grains,Europe,Thailand,DairyWorld,806.94,INR,1870,2025-05-04 21:55:40
116,Palm Oil,Oilseeds,Africa,Australia,ThaiAgri Export,809.12,EUR,1905,2025-07-28 09:12:21
117,Yogurt,Dairy,Asia,China,Fromage Global,641.24,USD,1642,2025-03-04 18:38:30
118,Yogurt,Dairy,South America,Mexico,AgroPalm Corp,594.5,USD,3906,2025-03-22 00:22:52
119,Barley,Grains,Europe,USA,VeggieCorp,390.63,EUR,1596,2025-07-06 17:58:10
120,Corn,Grains,North America,USA,AgroPalm Corp,1458.68,USD,4835,2024-12-28 20:47:49
121,Canola,Oilseeds,North America,France,SweetHarvest,991.7,EUR,4705,2025-09-15 13:35:56
122,Onion,Vegetables,Asia,Australia,ChocoTrade Ltd,230.82,EUR,727,2025-09-28 10:22:10
123,Palm Oil,Oilseeds,Asia,Thailand,ThaiAgri Export,1946.87,USD,3012,2025-09-28 10:14:37
124,Rice,Grains,Africa,India,BioAgro Ltd,1951.79,USD,233,2025-02-21 20:20:38
125,Milk Powder,Dairy,South America,USA,Fromage Global,1730.15,USD,1862,2025-11-01 17:50:45
126,Barley,Grains,Asia,Mexico,Mediterraneo S.A.,146.04,INR,1577,2025-03-21 08:24:14
127,Apple,Fruits,South America,Brazil,ThaiAgri Export,1853.95,EUR,3341,2025-05-21 03:00:34
128,Corn,Grains,Africa,Indonesia,BioAgro Ltd,1573.88,USD,4866,2025-08-27 06:18:32
129,Corn,Grains,Africa,Indonesia,VeggieCorp,1047.1,EUR,3367,2025-05-13 07:03:56
130,Flour,Processed,South America,Mexico,Fromage Global,285.52,EUR,3121,2025-06-18 22:54:49
131,Milk Powder,Dairy,Africa,Australia,ThaiAgri Export,491.47,USD,4444,2025-08-24 13:11:17
132,Carrot,Vegetables,South America,France,Fromage Global,567.21,USD,502,2025-02-24 10:18:22
133,Butter,Dairy,Asia,Indonesia,ThaiAgri Export,634.11,INR,724,2025-09-02 14:20:05
134,Flour,Processed,Asia,France,FruitEx Intl,1948.99,INR,146,2025-06-19 10:32:37
135,Carrot,Vegetables,South America,Mexico,VeggieCorp,640.11,EUR,2354,2025-08-31 16:34:07
136,Oats,Grains,South America,Brazil,VeggieCorp,319.52,USD,561,2025-05-05 04:12:50
137,Cocoa Powder,Processed,Africa,Mexico,Mediterraneo S.A.,1574.55,EUR,3008,2025-10-17 02:00:00
138,Soybean,Oilseeds,Asia,India,AgriFoods Inc,1161.06,INR,376,2024-12-03 05:18:01
139,Barley,Grains,Oceania,Spain,VeggieCorp,375.54,EUR,2773,2025-06-22 03:09:08
140,Cheddar Cheese,Dairy,North America,India,AgroGlobal,101.62,USD,4151,2025-02-17 15:35:47
141,Palm Oil,Oilseeds,Asia,Spain,BioAgro Ltd,182.74,USD,2770,2025-08-08 04:07:47
142,Soft Drink,Beverages,South America,Mexico,DairyWorld,1571.34,EUR,3798,2025-01-10 15:58:32
143,Grapes,Fruits,Africa,France,AgroPalm Corp,1576.84,EUR,2884,2025-03-28 12:18:32
144,Corn,Grains,South America,India,FruitEx Intl,212.87,EUR,299,2024-12-14 04:01:06
145,Carrot,Vegetables,Africa,France,BioAgro Ltd,182.29,INR,1084,2025-01-08 09:07:50
146,Cocoa Powder,Processed,Africa,Spain,AgroGlobal,501.83,EUR,898,2025-03-10 18:39:03
147,Carrot,Vegetables,Asia,Spain,VeggieCorp,323.94,USD,1982,2025-05-29 02:41:11
148,Rice,Grains,Asia,South Africa,AgroPalm Corp,413.09,USD,330,2025-08-23 23:13:28
149,Tea,Beverages,North America,Australia,Mediterraneo S.A.,1243.04,USD,2002,2025-09-23 20:50:51
150,Yogurt,Dairy,South America,France,Mediterraneo S.A.,300.92,USD,1642,2025-08-14 20:54:29
151,Broccoli,Vegetables,Europe,India,FruitEx Intl,1832.2,USD,1270,2025-10-18 14:27:23
152,Milk Powder,Dairy,South America,Thailand,ChocoTrade Ltd,102.6,EUR,4810,2025-01-29 12:57:27
153,Banana,Fruits,Europe,Thailand,VeggieCorp,1875.92,USD,4567,2025-02-23 15:22:02
154,Milk Powder,Dairy,Africa,Ghana,VeggieCorp,1124.55,INR,3887,2025-04-10 03:26:10
155,Mango,Fruits,Africa,Italy,FruitEx Intl,624.34,EUR,2223,2025-06-06 01:29:05
156,Orange,Fruits,Oceania,Mexico,AgriFoods Inc,687.64,EUR,4387,2025-11-17 11:57:46
157,Carrot,Vegetables,Asia,Indonesia,AgroGlobal,600.28,INR,2000,2025-07-05 21:34:08
158,Apple,Fruits,South America,Mexico,DairyWorld,1107.35,EUR,3961,2025-11-07 13:07:13
159,Barley,Grains,Europe,China,Fromage Global,1173.24,USD,3994,2024-12-17 04:49:12
160,Yogurt,Dairy,North America,Italy,SweetHarvest,1463.51,USD,2298,2025-07-13 12:54:30
161,Cheddar Cheese,Dairy,Oceania,South Africa,AgroGlobal,563.54,INR,2628,2025-02-06 02:48:21
162,Rice,Grains,Africa,Australia,ThaiAgri Export,1398.74,INR,1963,2025-02-22 03:17:30
163,Sugar,Processed,Oceania,France,FruitEx Intl,1301.44,USD,4329,2025-05-20 17:12:43
164,Barley,Grains,Oceania,France,BeverageWorld,667.57,USD,1299,2025-04-22 04:37:46
165,Mango,Fruits,North America,South Africa,Fromage Global,424.43,USD,1149,2025-10-22 21:26:44
166,Orange Juice,Beverages,Europe,South Africa,BioAgro Ltd,718.34,EUR,776,2025-10-21 00:19:10
167,Butter,Dairy,Asia,India,AgroGlobal,113.91,EUR,4357,2024-11-28 21:00:40
168,Banana,Fruits,Africa,South Africa,AgroGlobal,562.71,INR,4885,2025-08-12 01:28:58
169,Apple,Fruits,Oceania,India,AgroPalm Corp,1776.87,EUR,2469,2025-09-25 04:13:01
170,Barley,Grains,Europe,Australia,AgriFoods Inc,1485.34,USD,2225,2025-05-13 02:05:42
171,Oats,Grains,Oceania,Australia,AgroPalm Corp,1972.77,INR,3830,2025-06-05 18:54:34
172,Yogurt,Dairy,South America,Indonesia,AgriFoods Inc,213.69,EUR,1552,2025-06-25 00:32:42
173,Barley,Grains,Europe,Ghana,VeggieCorp,1091.19,INR,1515,2025-05-31 10:26:54
174,Soft Drink,Beverages,Africa,France,BioAgro Ltd,802.33,USD,4298,2025-08-23 15:12:26
175,Oats,Grains,South America,France,AgriFoods Inc,600.32,EUR,3454,2025-07-15 09:44:07
176,Oats,Grains,Asia,USA,ThaiAgri Export,1945.33,EUR,3163,2025-02-23 20:42:29
177,Canola,Oilseeds,Africa,South Africa,BioAgro Ltd,502.96,EUR,3482,2025-05-23 16:45:25
178,Milk Powder,Dairy,North America,Ghana,ChocoTrade Ltd,333.14,EUR,805,2025-11-08 10:46:32
179,Orange,Fruits,Oceania,Ghana,AgroPalm Corp,876.58,INR,4995,2025-03-17 09:35:56
180,Sunflower Oil,Oilseeds,Asia,India,AgroPalm Corp,449.75,EUR,3810,2025-07-20 23:45:43
181,Yogurt,Dairy,North America,Australia,Mediterraneo S.A.,245.82,EUR,4464,2025-06-28 08:29:50
182,Coffee,Beverages,South America,USA,DairyWorld,573.49,INR,2795,2025-04-20 03:58:27
183,Cocoa Powder,Processed,Asia,Italy,DairyWorld,633.36,EUR,1909,2025-08-28 06:26:14
184,Milk Powder,Dairy,Asia,India,VeggieCorp,1429.48,INR,3387,2025-11-15 01:22:20
185,Milk Powder,Dairy,Africa,France,BeverageWorld,804.5,INR,4618,2025-09-13 19:14:54
186,Potato,Vegetables,Africa,China,SweetHarvest,455.14,EUR,490,2024-11-25 10:16:43
187,Potato,Vegetables,Africa,France,AgroPalm Corp,1080.88,INR,4088,2025-09-03 08:47:18
188,Butter,Dairy,Africa,Thailand,BeverageWorld,168.2,EUR,184,2025-06-01 16:02:46
189,Sugar,Processed,North America,China,BioAgro Ltd,451.41,INR,3293,2025-11-02 17:37:19
190,Cocoa Powder,Processed,Africa,Thailand,AgroPalm Corp,763.25,INR,452,2025-11-16 05:53:27
191,Soft Drink,Beverages,South America,China,AgroGlobal,348.22,INR,3959,2024-11-21 10:43:01
192,Oats,Grains,Oceania,Spain,AgroGlobal,934.83,EUR,1511,2025-02-01 03:22:13
193,Flour,Processed,South America,South Africa,AgroPalm Corp,1449.13,USD,1604,2025-06-22 07:36:58
194,Rice,Grains,Africa,Thailand,AgriFoods Inc,1800.24,INR,759,2025-09-08 21:58:37
195,Mango,Fruits,Africa,Thailand,AgriFoods Inc,1999.12,EUR,894,2024-11-30 08:01:06
196,Olive Oil,Processed,North America,Ghana,SweetHarvest,608.92,INR,3287,2025-08-18 10:26:03
197,Barley,Grains,Africa,Spain,AgroPalm Corp,1682.32,INR,1532,2025-01-27 20:21:23
198,Milk Powder,Dairy,Oceania,Spain,SweetHarvest,449.8,EUR,754,2025-06-12 01:56:24
199,Banana,Fruits,Asia,Ghana,FruitEx Intl,155.61,EUR,4105,2025-07-19 09:28:19
200,Yogurt,Dairy,Europe,Australia,AgroGlobal,1656.63,EUR,590,2025-09-03 02:37:17
